Name
B. Zuculini
J. Arandero
Alex das Freitas
A. Salvamanos
P. Rodríguez
S. Bertoli
H. Palacios
William
E. Insúa
C. Vendoval
C. Pellerano
D. Hernández
E. Villa
Nathan
S. Ribas
M. González
M. Formica
F. Zuqui
D. Asprilla
F. Lértora
I. Pillud
Adeilson Gesser
Derley
Heltinho Melo
Nascimentardo
Rogerinho
A. Parot
S. Viera
M. Albornoz
Hugo Rubiães
Emerson Avintes
Martin Cordeia
Santos
F. Fernández
Nílton
J. Palacios
C. Henao
R. Gómez
Marlion Rolim
J. Lucumi
Eltildo Bessa
W. Ayoví
O. Barreto
D. Bottinelli
F. Bustos
M. García
Túlio Sandoiro
Carlinhos
P. Díaz
E. Elgueta
D. Fagundez
R. Peradezes
A. Fuentoza
F. Bordagaray
W. Cestedo
H. Salazores
G. Varelinto
André Milazisco
A. Niz
D. Mosquera
Leonardo
V. Cabrera
Y. Asad
W. Benítez
C. Alzáte
C. Villagra
L. Wílchez
N. Camacho
Rhayner
Wiliam Santinho
L. Ruíz
J. Guerrón
E. Loeschbor
A. Domínguez
E. Perozca
Edsinho Torres
F. Padrenda
G. Bergessio
Marcelo Sarvas
J. Jernal
D. Lemos
M. Silva
Nenê Bonilha
M. Cerato
W. Montoya
M. Hostados
Juninho
S. Vegas
Adryan
P. Alvarado
P. Velázquez
P. Freitas Conceição
F. Mancinelli
J. Canderio
Tramontinaldo
Felipe Silva
R. Verenas
Danilo
R. Herrera
Jubal
Defendi
Tony Muttinho
B. Rabello
J. Duque
G. Colman
J. Morales
V. Figueroa
R. Rebones
R. Millar
L. Licht
S. Palacios
G. Blanco Leschuk
I. Malcorra
L. Caicedo
N. Champagne
L. Grimi
E. Conde
N. Pasquini
M. Rodriguez
Y. Candelo
Alexandre Frandeira
Nathael Silbeira
Jair
Eduardo Fonseira
Y. Yotún
C. Menéndez
T. Zentena
Vágner Corraldo
E. Conferio
Allison Sireo
Gabrielzinho
J. Villota
C. Higuita
Ricky Guerreda
J. Mojica
C. Álvarez
E. Aguilera
G. Mera
Lourival Dinisco
Jairo Farnias
E. Blanco
L. Páez
D. González
J. Aldegrisa
Victor Fachinhas
K. Leerdam
Souza
J. Rodríguez
E. Baderia
G. Ortíz
Allan Ardaújo
Bruno Nascimento
F. Muñoz
L. Galados
Ansel Barnisco
S. Cerrión
Alam Araújo
Marcelo Toscano
Renatao Baumer
E. Unsain
A. Mercelán
J. Vergara
Vinícius Araújo
G. Díaz
Rodrigo Pinho
Alexio Sanctos
E. Dreer
R. Andrero
N. Nández
L. Suárez
Gabriel Silva
J. Celerios
R. Robayo
E. Martinez
L. Ruiz
L. Magallán
Alam Basteirinho
D. Aguileda
G. Zuiverloon
C. Sobedra
N. Carreño
N. Silva
L. Di Plácido
D. Moreno
L. Orejuela
Victor Andrade
Renaldo Justinho
Macarinho Louro
N. Sánchez
N. Romat
L. Desábato
A. Danteón
R. Braña
L. Arias
Thiago Galhardo
Raphael Paneira
M. Saracchi
Jailson Oliva
G. Milan
O. González
Nenê
G. Toledo
Diogildo Peixe
J. Lopera
P. Escobar
R. Carrascal
Y. Sanctissis
M. Olivera
V. Viola
P. Quiñonez
Enzo Chissano
N. Leguizamón
B. Cabezas
Breno Bemposta
L. Martínez Quarta
M. Casierra
I. Coronado
L. Diarte
Felipe
J. Silva
L. Giannetti
J. Muñoz
R. Ramírez
C. Lederos
Vicemte Tófoli
F. Zuculini
I. Canuto
Willyan
A. Batalla
F. Niell
C. Echagovia
Sevinho Santos
Léo Silva
Lucas Venuto
C. Rius
J. Velázquez
C. Araujo
M. García
P. Gazzaniga
E. Perlaza
Saberto Botelho
A. Castro
M. Mier
G. La Parra
J. Chiarini
Artur
L. Rodríguez
D. Texeira
R. Cardozo
Nilson Padilho
O. Scarione
A. Sendillas
P. Caballero
Ever Corredeira
A. Venteros
A. Adanuy
Paulinho
E. Lueiza
F. Otero Tovar
R. Perez
S. López
F. Millados
R. Abarsola
H. Galdamos
F. Oreja
Allano
I. Modonza
H. Sepulveño
L. Castro
A. Rentería
S. Rincón
M. Risso
D. Artuago
Wesley
Wagner Orsinho
F. Bellocq
Luisinho Conradi
J. Angulo
M. Escudero
J. Baiva
Platiny
F. Valverde
Kadu
Paulo Miranda
N. Moiraghi
M. Molina
R. Tramos
C. Arboleda
Andrei Girotto
H. Campagnaro
S. Hernández
C. Nieldo
J. Rojas
G. Sagal
A. Saltininio
Matheus Pereira
Daguinho Parrela
L. Rodríguez
Sérgio Espinho
J. Cristaldo
Bernardo Motinho
L. Melano
S. Rosales
B. Angulo
S. Domínguez
F. Arizala
G. Cosaro
E. Valencia
M. Herrera
Milton Menceiros
Flávio
Y. Reyna
J. Penroz
Césario Figueirido
Bruno Viana
C. Jorquera
M. Piedrahita
D. Peralta
G. Acosta
Fernando Boldrin
V. Giraldo
R. García Guerreño
R. Revoredo
R. Rojas
J. Álvarez
Muralha
Eltson Marques
N. Ibáñez
Luiz Phellype
H. Grana
Ewandro
C. Mansillas
A. Baroja
A. Escuderos
J. Correa
A. Larenardo
Bruno Tabata
L. Marín
Peter Torreiro
Edson Farias
Igor Madinha
C. Martínez Borja
Caio Tafarell
Luciano Cacheira
C. Saiz
V. Cantillo
G. Castellani
Bismark
M. Pérez
F. Andrada
N. Leyes
Sandeiro Leal
L. Ibáñez
Ranteiro Alves
L. Faravelli
C. Fauño
R. Carrera
M. Núñez
E. Cabaco
J. Angulo
C. Rodríguez
Carvamelinho
Jaimosa Cavaco
C. Techera
C. Bonilla
Alex
B. Lozano
J. Estrada
Rafael Silva
Prazeracinho
Anderson Lopes
M. Bravo
Wagner
G. Carabajal
C. Lucchetti
J. Ávila
R. Aliendro
C. Erbes
G. Verón
R. Raldes
L. Munesos
M. Barbieri
F. Píriz
W. López
C. Arias
C. Nasuti
J. Kouffaty
Léo Jabá
G. Kagelmacher
A. Aguerre
A. Castro
A. Sánchez
Paulo Fajarda
H. Mosquera
C. Ibargüen
N. Ibáñez
Sandro Maceira
F. Quignon
Sandro Manoel
R. Erramuspe
M. Abero
Joelinton
J. Malhue
Marlinito Dias
M. Curado
L. Ceballos
Alson Botelho
M. Riveros
M. Gómez
M. Sigales
Charles
E. Buendía
L. Sánchez
Ravanelli
C. Agoste
N. Navarro
C. Monsalvo
Dankler
F. Castillón
Antonaldo Laforte
J. San Román
G. Iñíguez
E. Armenteros
Paulo Daineiro
N. Colazo
E. Ardenaz
J. Ramírez
P. Ledesma
A. Ramos
E. Godoy
Ever Sineiro
F. Mercado
E. Rescaldani
Enaldo Paneira
J. Blanco
Renato Rochela
A. Polo
G. Díaz
L. Vásquez
S. Salazar
William
Rômulão Selva
Emu Teixeira
G. Brugman
M. Maroles
Roberto Soira
Patric
C. Aquino
M. Cuero
Ricardinho
H. Riojas
I. Crudelo
Ailton Cardenhas
A. Werner
E. Papa
J. Arias
R. Iribarra
A. Lizañas
E. Marcinal
M. Inostros
I. Blanco
Marcão
M. Martínez
Auremir
E. Rescaro
E. Vindegas
J. Musso
J. Caicedo
F. Monteseirín
